epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,842.496,1.34176,2.30911,5.28026,0.01629,3.45493,0.00363,0.8755,0.29108,0.14103,0.00318,0.76707,0.25363,0.07462,1.37935,1.30557,8.53003,0.03143,0,0.000655367,0.000655367,0.000655367
2,1578.76,1.23775,1.62953,2.98307,0.01397,1.30882,0.64878,0.48193,0.52467,0.23234,0.48117,0.36145,0.30721,0.09121,1.5909,1.32238,3.06535,0.03217,0,0.000885763,0.000885763,0.000885763
3,2248.46,1.26009,1.56236,1.96836,0.01357,1.21777,0.75727,0.59036,0.67242,0.37003,0.5983,0.50201,0.45639,0.14459,1.51284,1.24434,1.63753,0.02911,0,0.000676158,0.000676158,0.000676158
